TRKLEN,TRACK NAME,FROM_MEASURE,TO_MEASURE
465,J1,70475,70940
725,J1,84854,85579
540,J2,66400,66940
540,J1,58800,59340
846,J2,74044,74890
350,J1,58450,58800
600,J1,56900,57500
360,J2,54500,54860
178,J1,68596,68774
425,J2,55575,56000
724,J1,86295,87019
725,J2,84854,85579
225,J1,57775,58000
43,J1,53766,53816
1000,J2,60000,61000
1000,J2,61000,62000
109,J1,87423,87532
734,J2,81921,82655
734,J1,81187,81921
845,J1,73199,74044
600,J2,56900,57500
846,J1,66940,67786
330,J2,67620,67950
731,J1,83386,84117
177,J2,68419,68596
745,J1,78228,78973
610,J2,71670,72280
1000,J1,65000,66000
760,J2,70200,70960
210,J1,87018.25,87213
469,J2,67950,68419
746,J2,78973,79719
470,J2,69440,69910
193,J2,56400,56552
1000,J2,65000,66000
110,J1,53652,53766
660,J2,59340,60000
57,J1,56561,56650
710,J2,70960,71670
235,J2,58300,58535
468,J1,67950,68419
143,J2,56757,56900
210,J1,87213,87423
575,J2,58535,59110
919,J1,72280,73199
680,J2,66940,67620
925,J2,88402,89350
106,J1,88318,88401
435,J2,57500,57935
734,J1,81921,82655
684,J2,53816,54500
1000,J1,63000,64000
230,J2,59110,59340
460,J1,69440,69900
151,J2,50133,50274
737,J1,84117,84854
230,J2,52620,52850
745,J1,78973,79719
270,N1,71450,71720
159,N1,108120,108279
212,N2,69990,70202
1065,N2,109415,110480
201,N1,64583,64784
835,N2,84685,85520
629,N1,83221,83850
1054,N1,109415,110479
192,N1,56673,56865
362,N2,82200,82562
975,N2,95500,96475
633,N1,60300,60933
591,N2,53192,53783
410,N2,80550,80960
1050,N1,103140,104200
125,N1,64458,64583
1050,N2,103140,104200
694,N2,79856,80550
400,N2,75380,75780
303,N2,73477,73780
389,N2,105882,106271
977,N2,101184,102161
600,N2,65535,66135
120,N2,78011.5,78132
134,N1,100780.5,100915
135,N2,100781,100916
461,N2,66830,67291
658,N2,70202,70860
233,N2,65302,65535
819,N1,57970.42,58500
844,N1,50280,51124
805,N2,98255,99060
159,N1,109096,109255.5
390,N1,66440,66830
600,N2,72877,73477
850,N1,49430,50280
600,N2,107367,107967
357,N2,64583,64940
281,N2,52911,53192
259,N2,88971,89230
413,N2,71750,72163
979,N1,102161,103140
600,N1,68975,69575
140,N2,48975,49115
761,N1,76138,76511
500,N2,55050,55550
300,N2,87340,87640
190,N1,64784,64974
600,N2,74780,75380
203,N2,69575,69778
133,N2,56270.5,56404
0,N2,110480,110504.37
885,N2,62845,63730
134,N2,89632,89766
120,N1,78011.5,78132
825,N1,81375,82200
390,N2,66440,66830
119,N2,108120,108279
650,N2,82562,83212
160,N2,109096,109255.5
250,N2,54800,55050
600,N1,76511,77111
308,N2,52492,52800
700,N2,88272,88971
119,N2,108279,108438
851,N2,67291,68142
942,N2,91575,92517
212,N2,69778,69990
478,N1,80072,80550
128,N2,53911.5,54040
884,N2,85871,86755
779,N2,106271,107050
317,N2,107050,107367
1020,N1,94480,95500
425,N1,53460,53885
410,N1,80550,80960
714,N2,72163,72877
442,N2,61960,62402
582,N2,104200,104762
658,N2,108438,109096
654,N1,67487,68142
415,N2,80960,81375
390,N2,105492,105882
948,N1,92615.37,93460
569,N1,65288.52,65535
569,N1,64974,65296.6
948,N1,92519,92622.39
580,N1,64204.38,64333
580,N1,63720,64171.79
819,N1,57684,57972.9
790,N1,88971.35,89230
1027,N1,52150,53042.62
0,N2,49469.14,49675
300,L2,6228,6528
148,L2,5326,5474
246,L2,15546,15654.52
0,L1,5326,5474
675,L1,11645,12320
329,L1,24773.66,24890.49
1060,L1,13996.74,14080
700,L2,7100,7800
224,L2,15021,15245
515,L1,5675,6190
1085,L1,8758,9843
267,L2,10552,10819
715,L1,12320,13035
0,L1,5191.29,5326
960,L2,12320,13280
246,L2,24795.8,24965.86
800,L2,13280,14080
329,L1,15440,15654.52
251,L2,5474,5726
0,L2,5191.29,5326
572,L2,6528,7100
731,J2,82655,83386
365,J2,57935,58300
488,J1,53162,53652
600,J2,87532,88132
56,J1,88132,88188
731,J2,83386,84117
1060,L1,13035,14011.22
731,J1,82655,83386
658,J2,77570,78228
1005,J1,60995,62000
1080,L1,10740.83,11645
1080,L1,10552,10727.73
1205,L2,10329.87,10552
1205,L2,9379,10362.01
1000,J2,64000,65000
715,J2,54860,55575
742,L1,10322.27,10552
742,L1,9843,10355.4
944,L1,7399.69,7950
944,L1,7100,7493.59
745,J2,78228,78973
1336,J2,50274,51610
1044,J1,53816,54860
840,J2,75730,76570
405,J1,55495,55900
0,E2,68292,68330
95,L1,25532.78,25728.02
218,A2,4630,4712
234,L2,25566.03,25726.67
171,A1,4619,4712
318,F2,54600,54918
293,L1,25267.68,25532.78
366,B1,73649,73659.1
92,B2,17494.2,17687.4
0,N2,49115,49427.25
862,N1,85091.92,85556
862,N1,84713,85110.37
727,N1,79866.25,80072
727,N1,79325,79846.36
739,N1,72812.22,72877
739,N1,72163,72863.73
615,N1,70559.74,70826
615,N1,70202,70551
844,N1,68908,68975
901,N1,105866,106150
844,N1,68142,68919.31
901,N1,105260,105877.01
786,N1,99947.79,100646
786,N1,99847,99935.11
661,N1,67089.93,67487
661,N1,66830,67093.69
808,L1,7950,8758
502,L2,5726,6228
958,L2,7800,8758
941,L2,14080,15021
751,L2,10819,11570
910,L1,6190,7100
1360,L1,14080,15440
621,L2,8758,9379
200,L1,5474,5675
750,L2,11570,12320
369,L1,24890.49,25267.68
301,L2,15245,15546
235,N2,65067,65302
498,N2,104762,105260
1050,N1,58500,59550
400,N1,99060,99460
125,N2,64333,64458
121,N1,77891,78011.5
139,N1,89364,89498
0,N2,49675,50280
135,N2,100646,100781
568,N1,55550,56092.55
360,N1,93460,93820
134,N2,56137,56270.5
793,N2,99853,100646
915,N2,57585,58500
303,N1,73477,73780
502,N2,73780,74282
804,N2,97451,98255
139,N1,89230,89364
139,N1,89632,89766
863,N1,83850,84713
159,N2,109255.5,109415
976,N2,96475,97451
906,N2,90669,91575
134,N2,89498,89632
500,N1,104200,104700
500,N1,61450,61950
